iter	Passed	Remaining
0	2	2353
1	5	2711
2	7	2562
3	10	2595
4	12	2504
5	14	2426
6	16	2337
7	17	2206
8	19	2200
9	21	2139
10	23	2107
11	25	2082
12	26	2024
13	28	1982
14	31	2056
15	33	2044
16	34	2018
17	36	1992
18	37	1961
19	39	1940
20	41	1917
21	42	1895
22	44	1888
23	46	1871
24	47	1851
25	48	1827
26	50	1812
27	51	1802
28	53	1783
29	54	1774
30	56	1769
31	58	1767
32	60	1764
33	62	1766
34	63	1755
35	65	1748
36	66	1738
37	68	1730
38	69	1716
39	71	1706
40	72	1695
41	73	1686
42	75	1679
43	76	1672
44	78	1663
45	79	1654
46	81	1647
47	82	1639
48	84	1632
49	85	1624
50	87	1631
51	89	1632
52	91	1631
53	92	1625
54	94	1626
55	96	1622
56	98	1621
57	99	1617
58	101	1611
59	102	1610
60	104	1605
61	105	1601
62	107	1596
63	108	1590
64	110	1589
65	111	1584
66	113	1581
67	115	1579
68	117	1579
69	118	1576
70	120	1575
71	121	1571
72	123	1567
73	124	1561
74	126	1554
75	127	1548
76	128	1542
77	130	1538
78	132	1539
79	134	1546
80	136	1547
81	137	1543
82	139	1541
83	141	1545
84	143	1542
85	144	1539
86	146	1542
87	148	1537
88	150	1535
89	151	1533
90	153	1535
91	155	1533
92	156	1529
93	158	1523
94	159	1522
95	161	1524
96	163	1520
97	165	1519
98	166	1518
99	168	1518
100	170	1518
101	172	1515
102	174	1517
103	175	1516
104	177	1516
105	179	1513
106	181	1511
107	182	1510
108	184	1508
109	186	1506
110	187	1504
111	190	1508
112	191	1506
113	194	1508
114	196	1508
115	197	1506
116	199	1504
117	200	1500
118	203	1508
119	205	1508
120	207	1508
121	209	1507
122	211	1506
123	213	1510
124	216	1513
125	218	1513
126	219	1511
127	221	1509
128	223	1507
129	224	1504
130	226	1501
131	227	1498
132	229	1496
133	231	1493
134	232	1490
135	234	1488
136	236	1486
137	238	1487
138	239	1485
139	241	1485
140	243	1482
141	245	1484
142	247	1481
143	248	1478
144	250	1475
145	252	1474
146	253	1472
147	255	1469
148	256	1466
149	258	1465
150	260	1465
151	262	1463
152	263	1461
153	265	1458
154	267	1456
155	268	1453
156	270	1450
157	271	1448
158	273	1446
159	274	1443
160	276	1440
161	278	1439
162	280	1438
163	281	1436
164	283	1433
165	284	1430
166	286	1428
167	287	1426
168	289	1423
169	290	1420
170	292	1418
171	294	1416
172	295	1414
173	297	1412
174	299	1413
175	301	1411
176	303	1409
177	304	1407
178	306	1405
179	307	1402
180	309	1399
181	310	1397
182	312	1397
183	314	1394
184	315	1391
185	317	1389
186	319	1387
187	321	1386
188	322	1384
189	324	1381
190	325	1379
191	327	1377
192	328	1375
193	330	1374
194	332	1371
195	333	1369
196	336	1370
197	338	1369
198	339	1367
199	341	1365
200	343	1364
201	345	1365
202	347	1365
203	349	1364
204	351	1362
205	353	1361
206	354	1359
207	356	1357
208	358	1357
209	360	1355
210	362	1353
211	363	1351
212	365	1349
213	366	1347
214	368	1345
215	369	1342
216	371	1341
217	373	1340
218	375	1338
219	376	1336
220	378	1334
221	380	1332
222	381	1330
223	383	1328
224	385	1326
225	386	1324
226	388	1323
227	390	1322
228	392	1321
229	394	1319
230	395	1316
231	397	1314
232	398	1312
233	400	1309
234	401	1306
235	403	1305
236	404	1303
237	406	1300
238	407	1298
239	409	1296
240	410	1293
241	412	1291
242	413	1288
243	415	1286
244	417	1285
245	419	1284
246	421	1283
247	422	1281
248	424	1280
249	425	1277
250	427	1275
251	428	1273
252	430	1271
253	432	1269
254	433	1267
255	435	1265
256	436	1262
257	437	1259
258	439	1256
259	440	1254
260	442	1252
261	443	1250
262	445	1247
263	446	1245
264	448	1243
265	450	1241
266	451	1239
267	452	1236
268	454	1233
269	455	1232
270	457	1229
271	458	1227
272	460	1225
273	461	1223
274	463	1220
275	464	1218
276	466	1216
277	467	1213
278	468	1211
279	470	1208
280	471	1206
281	472	1203
282	474	1201
283	475	1199
284	477	1196
285	478	1194
286	479	1191
287	481	1189
288	482	1187
289	484	1185
290	485	1182
291	486	1180
292	488	1178
293	489	1176
294	491	1173
295	492	1171
296	494	1169
297	495	1167
298	497	1165
299	498	1162
300	499	1160
301	501	1158
302	502	1156
303	504	1154
304	505	1151
305	506	1149
306	508	1147
307	509	1144
308	510	1142
309	512	1139
310	513	1137
311	514	1134
312	516	1132
313	517	1130
314	519	1128
315	520	1126
316	521	1124
317	523	1122
318	524	1119
319	525	1117
320	527	1115
321	528	1112
322	529	1110
323	531	1109
324	532	1106
325	534	1104
326	535	1102
327	537	1100
328	538	1099
329	540	1097
330	542	1095
331	543	1093
332	545	1093
333	547	1091
334	548	1088
335	549	1086
336	551	1084
337	552	1082
338	553	1080
339	555	1077
340	556	1075
341	558	1073
342	559	1071
343	560	1069
344	561	1066
345	563	1064
346	564	1062
